"","Subject","item","noun","condition","word.CRESP","word.RESP","word.ACC","word.RT","spr_listnr_assigned","recog_listnr_assigned","wrong_combo"
"57","oa_1","10_expected","Band","expected","j","n",0,2616,4,2,""
"58","oa_1","8_unseen","Schutt",NA,"n","j",0,2808,4,2,""
"59","oa_1","24_unseen","Speisesaal",NA,"n","n",1,1888,4,2,""
"60","oa_1","1_unexpected","Schlafzimmer","unexpected","j","j",1,1301,4,2,""
"61","oa_1","27_unseen","Bildschirm",NA,"n","n",1,1841,4,2,""
"62","oa_1","27_unexpected","Platte","unexpected","j","n",0,2912,4,2,""
"63","oa_1","28_expected","Briefkasten","expected","j","j",1,2820,4,2,""
"64","oa_1","20_unseen","Wüste",NA,"n","n",1,1828,4,2,""
"65","oa_1","9_unseen","Sekunde",NA,"n","n",1,3667,4,2,""
"66","oa_1","24_expected","Wald","expected","j","j",1,3185,4,2,""
"67","oa_1","35_unseen","Mozart",NA,"n","n",1,3674,4,2,""
"68","oa_1","18_unseen","Pfadfinder",NA,"n","n",1,1568,4,2,""
"69","oa_1","15_unexpected","Untermieterin","unexpected","j","j",1,1713,4,2,""
"70","oa_1","30_expected","Polizei","expected","j","j",1,1093,4,2,""
"71","oa_1","34_unseen","Hypnose",NA,"n","n",1,1130,4,2,""
"72","oa_1","22_expected","Kühlschrank","expected","j","j",1,1437,4,2,""
"73","oa_1","22_unseen","Pfanne",NA,"n","n",1,2651,4,2,""
"74","oa_1","38_unseen","Felsen",NA,"n","n",1,1138,4,2,""
"75","oa_1","21_unexpected","Offizier","unexpected","j","j",1,1804,4,2,""
"76","oa_1","31_unseen","Salami",NA,"n","n",1,1988,4,2,""
"77","oa_1","26_unseen","Märchen",NA,"n","j",0,3293,4,2,""
"78","oa_1","47_expected","Tür","expected","j","n",0,4154,4,2,""
"79","oa_1","41_unexpected","Bock","unexpected","j","j",1,2333,4,2,""
"80","oa_1","21_unseen","Zigaretten",NA,"n","n",1,1928,4,2,""
"81","oa_2","11_expected","Müll","expected","j","n",0,21421,1,1,""
"82","oa_2","40_unexpected","Vogel","unexpected","j","n",0,6075,1,1,""
"83","oa_2","23_expected","Zug","expected","j","n",0,986,1,1,""
"84","oa_2","38_unseen","Felsen",NA,"n","n",1,730,1,1,""
"85","oa_2","9_unseen","Sekunde",NA,"n","n",1,669,1,1,""
"86","oa_2","12_unseen","Wunsch",NA,"n","n",1,578,1,1,""
"87","oa_2","33_unseen","Weste",NA,"n","n",1,595,1,1,""
"88","oa_2","30_unexpected","Geschäft","unexpected","j","n",0,715,1,1,""
"89","oa_2","3_expected","Tür","expected","j","n",0,654,1,1,""
"90","oa_2","25_expected","Flagge","expected","j","n",0,619,1,1,""
"91","oa_2","43_expected","Stall","expected","j","n",0,722,1,1,""
"92","oa_2","35_unseen","Mozart",NA,"n","n",1,613,1,1,""
"93","oa_2","12_unexpected","Bart","unexpected","j","n",0,613,1,1,""
"94","oa_2","17_unseen","Brüder",NA,"n","n",1,572,1,1,""
"95","oa_2","40_unseen","Türke",NA,"n","n",1,581,1,1,""
"96","oa_2","1_unseen","Käsekuchen",NA,"n","n",1,598,1,1,""
"97","oa_2","49_unexpected","Umschlag","unexpected","j","n",0,821,1,1,""
"98","oa_2","32_unseen","Buchstaben",NA,"n","n",1,636,1,1,""
"99","oa_2","25_unseen","Einzelkind",NA,"n","n",1,546,1,1,""
"100","oa_2","31_unseen","Salami",NA,"n","n",1,589,1,1,""
"101","oa_2","22_unexpected","Badewanne","unexpected","j","n",0,517,1,1,""
"102","oa_2","23_unseen","Röhre",NA,"n","n",1,664,1,1,""
"103","oa_2","24_unexpected","Gegend","unexpected","j","n",0,725,1,1,""
"104","oa_2","14_unexpected","Weihnachtsmann","unexpected","j","n",0,808,1,1,""
"105","oa_2","4_unseen","Unterricht",NA,"n","n",1,624,1,1,""
"106","oa_2","34_unexpected","Hotelzimmer","unexpected","j","n",0,639,1,1,""
"107","oa_2","17_expected","Rätsel","expected","j","n",0,709,1,1,""
"108","oa_2","10_unexpected","Rose","unexpected","j","n",0,769,1,1,""
"109","oa_2","14_unseen","Fahrzeuge",NA,"n","n",1,810,1,1,""
"110","oa_2","44_unexpected","Vorhang","unexpected","j","n",0,681,1,1,""
"111","oa_2","20_unseen","Wüste",NA,"n","n",1,1893,1,1,""
"112","oa_2","4_unexpected","Bauch","unexpected","j","n",0,914,1,1,""
"113","oa_2","13_unseen","Frosch",NA,"n","n",1,662,1,1,""
"114","oa_2","26_unexpected","Ratte","unexpected","j","n",0,707,1,1,""
"115","oa_2","38_unexpected","Computer","unexpected","j","n",0,703,1,1,""
"116","oa_2","31_expected","Teig","expected","j","n",0,755,1,1,""
"117","oa_2","47_unexpected","Fensterrahmen","unexpected","j","n",0,1012,1,1,""
"118","oa_2","10_unseen","Zwerge",NA,"n","n",1,676,1,1,""
"119","oa_2","8_unexpected","Osten","unexpected","j","n",0,769,1,1,""
"120","oa_2","9_expected","Ziel","expected","j","n",0,770,1,1,""
"121","oa_2","5_unseen","Kopfgeld",NA,"n","n",1,899,1,1,""
"122","oa_2","15_unseen","Künstlerin",NA,"n","n",1,718,1,1,""
"123","oa_2","39_expected","Apotheke","expected","j","n",0,609,1,1,""
"124","oa_2","35_expected","Nase","expected","j","n",0,729,1,1,""
"125","oa_2","27_unseen","Bildschirm",NA,"n","n",1,852,1,1,""
"126","oa_2","7_expected","Schiff","expected","j","n",0,650,1,1,""
"127","oa_2","26_unseen","Märchen",NA,"n","n",1,1039,1,1,""
"128","oa_2","19_unseen","Bombe",NA,"n","n",1,677,1,1,""
"129","oa_2","27_expected","Herd","expected","j","n",0,634,1,1,""
"130","oa_2","16_unseen","Antarktis",NA,"n","n",1,633,1,1,""
"131","oa_2","29_expected","Geheimnis","expected","j","n",0,1047,1,1,""
"132","oa_2","7_unseen","Zeichnung",NA,"n","n",1,717,1,1,""
"133","oa_2","6_unseen","Gipfel",NA,"n","n",1,848,1,1,""
"134","oa_2","30_unseen","Toaster",NA,"n","n",1,606,1,1,""
"135","oa_2","8_unseen","Schutt",NA,"n","n",1,789,1,1,""
"136","oa_2","36_unexpected","Salon","unexpected","j","n",0,758,1,1,""
"137","oa_2","11_unseen","Zuneigung",NA,"n","n",1,807,1,1,""
"138","oa_2","16_unexpected","Bus","unexpected","j","n",0,727,1,1,""
"139","oa_2","19_expected","Fenster","expected","j","n",0,1066,1,1,""
"140","oa_2","39_unseen","Makler",NA,"n","n",1,695,1,1,""
"141","oa_2","41_expected","Kühe","expected","j","n",0,675,1,1,""
"142","oa_2","2_unexpected","Gruppe","unexpected","j","n",0,624,1,1,""
"143","oa_2","42_unexpected","Decke","unexpected","j","n",0,663,1,1,""
"144","oa_2","21_expected","Wunde","expected","j","n",0,829,1,1,""
"145","oa_2","37_unseen","Smaragd",NA,"n","n",1,604,1,1,""
"146","oa_2","45_expected","Ja-Wort","expected","j","n",0,1987,1,1,""
"147","oa_2","28_unseen","Verschluss",NA,"n","n",1,828,1,1,""
"148","oa_2","21_unseen","Zigaretten",NA,"n","n",1,699,1,1,""
"149","oa_2","3_unseen","Lippen",NA,"n","n",1,718,1,1,""
"150","oa_2","36_unseen","Schande",NA,"n","n",1,689,1,1,""
"151","oa_2","20_unexpected","Ausrüstung","unexpected","j","n",0,694,1,1,""
"152","oa_2","15_expected","Schlüsseldienst","expected","j","n",0,1450,1,1,""
"153","oa_2","24_unseen","Speisesaal",NA,"n","n",1,720,1,1,""
"154","oa_2","22_unseen","Pfanne",NA,"n","n",1,747,1,1,""
"155","oa_2","29_unseen","Materie",NA,"n","n",1,901,1,1,""
"156","oa_2","18_unseen","Pfadfinder",NA,"n","n",1,697,1,1,""
"157","oa_2","33_expected","Sonne","expected","j","n",0,629,1,1,""
"158","oa_2","2_unseen","Technik",NA,"n","n",1,668,1,1,""
"159","oa_2","48_expected","Wand","expected","j","n",0,841,1,1,""
"160","oa_2","34_unseen","Hypnose",NA,"n","n",1,679,1,1,""
"161","oa_3","13_unexpected","Couch","unexpected","j","n",0,1912,3,2,"XXXX"
"162","oa_3","14_unseen","Fahrzeuge",NA,"n","n",1,2676,3,2,"XXXX"
"163","oa_3","5_unexpected","Grundstück","unexpected","j","n",0,2441,3,2,"XXXX"
"164","oa_3","7_unseen","Zeichnung",NA,"n","j",0,7936,3,2,"XXXX"
"165","oa_3","48_unexpected","Dachboden","unexpected","j","j",1,4861,3,2,"XXXX"
"166","oa_3","11_unseen","Zuneigung",NA,"n","n",1,1676,3,2,"XXXX"
"167","oa_3","19_unexpected","Klappe","unexpected","j","n",0,4793,3,2,"XXXX"
"168","oa_3","4_unseen","Unterricht",NA,"n","j",0,2539,3,2,"XXXX"
"169","oa_3","42_expected","Boden","expected","j","j",1,8421,3,2,"XXXX"
"170","oa_3","36_unseen","Schande",NA,"n","n",1,1623,3,2,"XXXX"
"171","oa_3","40_expected","Affen","expected","j","n",0,3358,3,2,"XXXX"
"172","oa_3","6_unseen","Gipfel",NA,"n","n",1,9049,3,2,"XXXX"
"173","oa_3","39_unexpected","Hospital","unexpected","j","n",0,2681,3,2,"XXXX"
"174","oa_3","3_unexpected","Haus","unexpected","j","j",1,2406,3,2,"XXXX"
"175","oa_3","30_unseen","Toaster",NA,"n","n",1,1318,3,2,"XXXX"
"176","oa_3","20_expected","Fahrrad","expected","j","n",0,4986,3,2,"XXXX"
"177","oa_3","32_unseen","Buchstaben",NA,"n","n",1,3107,3,2,"XXXX"
"178","oa_3","4_expected","Zähne","expected","j","n",0,6864,3,2,"XXXX"
"179","oa_3","5_unseen","Kopfgeld",NA,"n","n",1,1070,3,2,"XXXX"
"180","oa_3","9_unexpected","Menge","unexpected","j","j",1,4451,3,2,"XXXX"
"181","oa_3","8_expected","Berge","expected","j","j",1,3434,3,2,"XXXX"
"182","oa_3","15_unseen","Künstlerin",NA,"n","n",1,2001,3,2,"XXXX"
"183","oa_3","6_expected","Tisch","expected","j","j",1,2489,3,2,"XXXX"
"184","oa_3","34_expected","Bäckerei","expected","j","n",0,3678,3,2,"XXXX"
"185","oa_3","1_unseen","Käsekuchen",NA,"n","n",1,1356,3,2,"XXXX"
"186","oa_3","38_expected","Licht","expected","j","n",0,8918,3,2,"XXXX"
"187","oa_3","23_unseen","Röhre",NA,"n","n",1,2356,3,2,"XXXX"
"188","oa_3","14_expected","Ferien","expected","j","j",1,1318,3,2,"XXXX"
"189","oa_3","39_unseen","Makler",NA,"n","n",1,1410,3,2,"XXXX"
"190","oa_3","2_unseen","Technik",NA,"n","n",1,1153,3,2,"XXXX"
"191","oa_3","18_expected","Orchester","expected","j","j",1,11954,3,2,"XXXX"
"192","oa_3","37_unseen","Smaragd",NA,"n","n",1,1352,3,2,"XXXX"
"193","oa_3","45_unexpected","Antwort","unexpected","j","j",1,5306,3,2,"XXXX"
"194","oa_3","10_unseen","Zwerge",NA,"n","n",1,1975,3,2,"XXXX"
"195","oa_3","17_unseen","Brüder",NA,"n","n",1,2688,3,2,"XXXX"
"196","oa_3","7_unexpected","Wagen","unexpected","j","n",0,5245,3,2,"XXXX"
"197","oa_3","37_unexpected","Waffe","unexpected","j","n",0,1197,3,2,"XXXX"
"198","oa_3","40_unseen","Türke",NA,"n","n",1,2038,3,2,"XXXX"
"199","oa_3","29_unseen","Materie",NA,"n","n",1,1436,3,2,"XXXX"
"200","oa_3","49_expected","Paket","expected","j","n",0,2419,3,2,"XXXX"
"201","oa_3","17_unexpected","Herausforderung","unexpected","j","j",1,9227,3,2,"XXXX"
"202","oa_3","25_unexpected","Wappen","unexpected","j","n",0,1261,3,2,"XXXX"
"203","oa_3","43_unexpected","Gatter","unexpected","j","n",0,1210,3,2,"XXXX"
"204","oa_3","13_unseen","Frosch",NA,"n","n",1,7953,3,2,"XXXX"
"205","oa_3","3_unseen","Lippen",NA,"n","j",0,4869,3,2,"XXXX"
"206","oa_3","35_unexpected","Mund","unexpected","j","j",1,7716,3,2,"XXXX"
"207","oa_3","33_unseen","Weste",NA,"n","n",1,1353,3,2,"XXXX"
"208","oa_3","16_unseen","Antarktis",NA,"n","n",1,1419,3,2,"XXXX"
"209","oa_3","25_unseen","Einzelkind",NA,"n","n",1,3202,3,2,"XXXX"
"210","oa_3","28_unseen","Verschluss",NA,"n","n",1,3139,3,2,"XXXX"
"211","oa_3","31_unexpected","Watte","unexpected","j","n",0,8262,3,2,"XXXX"
"212","oa_3","19_unseen","Bombe",NA,"n","n",1,1014,3,2,"XXXX"
"213","oa_3","2_expected","Auto","expected","j","j",1,1101,3,2,"XXXX"
"214","oa_3","12_unseen","Wunsch",NA,"n","j",0,1353,3,2,"XXXX"
"215","oa_3","36_expected","Sauna","expected","j","n",0,1683,3,2,"XXXX"
"216","oa_3","16_expected","Schloss","expected","j","n",0,8039,3,2,"XXXX"
"217","oa_3","10_expected","Band","expected","j","n",0,2064,3,2,"XXXX"
"218","oa_3","8_unseen","Schutt",NA,"n","n",1,1093,3,2,"XXXX"
"219","oa_3","24_unseen","Speisesaal",NA,"n","n",1,2329,3,2,"XXXX"
"220","oa_3","1_unexpected","Schlafzimmer","unexpected","j","n",0,3789,3,2,"XXXX"
"221","oa_3","27_unseen","Bildschirm",NA,"n","n",1,2046,3,2,"XXXX"
"222","oa_3","27_unexpected","Platte","unexpected","j","n",0,7469,3,2,"XXXX"
"223","oa_3","28_expected","Briefkasten","expected","j","j",1,4533,3,2,"XXXX"
"224","oa_3","20_unseen","Wüste",NA,"n","j",0,1312,3,2,"XXXX"
"225","oa_3","9_unseen","Sekunde",NA,"n","n",1,2828,3,2,"XXXX"
"226","oa_3","24_expected","Wald","expected","j","j",1,4772,3,2,"XXXX"
"227","oa_3","35_unseen","Mozart",NA,"n","n",1,4694,3,2,"XXXX"
"228","oa_3","18_unseen","Pfadfinder",NA,"n","j",0,10051,3,2,"XXXX"
"229","oa_3","15_unexpected","Untermieterin","unexpected","j","n",0,1076,3,2,"XXXX"
"230","oa_3","30_expected","Polizei","expected","j","n",0,6409,3,2,"XXXX"
"231","oa_3","34_unseen","Hypnose",NA,"n","n",1,1003,3,2,"XXXX"
"232","oa_3","22_expected","Kühlschrank","expected","j","n",0,9218,3,2,"XXXX"
"233","oa_3","22_unseen","Pfanne",NA,"n","n",1,3652,3,2,"XXXX"
"234","oa_3","38_unseen","Felsen",NA,"n","n",1,1707,3,2,"XXXX"
"235","oa_3","21_unexpected","Offizier","unexpected","j","n",0,1143,3,2,"XXXX"
"236","oa_3","31_unseen","Salami",NA,"n","n",1,1025,3,2,"XXXX"
"237","oa_3","26_unseen","Märchen",NA,"n","n",1,7384,3,2,"XXXX"
"238","oa_3","47_expected","Tür","expected","j","n",0,7658,3,2,"XXXX"
"239","oa_3","41_unexpected","Bock","unexpected","j","n",0,1170,3,2,"XXXX"
"240","oa_3","21_unseen","Zigaretten",NA,"n","n",1,827,3,2,"XXXX"
"241","oa_4","13_unexpected","Couch","unexpected","j","j",1,4273,2,2,""
"242","oa_4","14_unseen","Fahrzeuge",NA,"n","j",0,3975,2,2,""
"243","oa_4","5_unexpected","Grundstück","unexpected","j","n",0,4193,2,2,""
"244","oa_4","7_unseen","Zeichnung",NA,"n","j",0,1931,2,2,""
"245","oa_4","48_unexpected","Dachboden","unexpected","j","j",1,1318,2,2,""
"246","oa_4","11_unseen","Zuneigung",NA,"n","j",0,4160,2,2,""
"247","oa_4","19_unexpected","Klappe","unexpected","j","j",1,2043,2,2,""
"248","oa_4","4_unseen","Unterricht",NA,"n","j",0,1457,2,2,""
"249","oa_4","42_expected","Boden","expected","j","j",1,991,2,2,""
"250","oa_4","36_unseen","Schande",NA,"n","n",1,2456,2,2,""
"251","oa_4","40_expected","Affen","expected","j","j",1,1022,2,2,""
"252","oa_4","6_unseen","Gipfel",NA,"n","j",0,1637,2,2,""
"253","oa_4","39_unexpected","Hospital","unexpected","j","n",0,3836,2,2,""
"254","oa_4","3_unexpected","Haus","unexpected","j","j",1,1107,2,2,""
"255","oa_4","30_unseen","Toaster",NA,"n","j",0,1959,2,2,""
"256","oa_4","20_expected","Fahrrad","expected","j","j",1,1185,2,2,""
"257","oa_4","32_unseen","Buchstaben",NA,"n","n",1,4825,2,2,""
"258","oa_4","4_expected","Zähne","expected","j","j",1,1978,2,2,""
"259","oa_4","5_unseen","Kopfgeld",NA,"n","n",1,2131,2,2,""
"260","oa_4","9_unexpected","Menge","unexpected","j","j",1,2726,2,2,""
"261","oa_4","8_expected","Berge","expected","j","j",1,1114,2,2,""
"262","oa_4","15_unseen","Künstlerin",NA,"n","j",0,2220,2,2,""
"263","oa_4","6_expected","Tisch","expected","j","j",1,3004,2,2,""
"264","oa_4","34_expected","Bäckerei","expected","j","j",1,828,2,2,""
"265","oa_4","1_unseen","Käsekuchen",NA,"n","n",1,2099,2,2,""
"266","oa_4","38_expected","Licht","expected","j","j",1,4543,2,2,""
"267","oa_4","23_unseen","Röhre",NA,"n","n",1,3347,2,2,""
"268","oa_4","14_expected","Ferien","expected","j","j",1,1486,2,2,""
"269","oa_4","39_unseen","Makler",NA,"n","n",1,1410,2,2,""
"270","oa_4","2_unseen","Technik",NA,"n","n",1,3498,2,2,""
"271","oa_4","18_expected","Orchester","expected","j","j",1,1247,2,2,""
"272","oa_4","37_unseen","Smaragd",NA,"n","n",1,1925,2,2,""
"273","oa_4","45_unexpected","Antwort","unexpected","j","j",1,2161,2,2,""
"274","oa_4","10_unseen","Zwerge",NA,"n","j",0,1675,2,2,""
"275","oa_4","17_unseen","Brüder",NA,"n","n",1,4936,2,2,""
"276","oa_4","7_unexpected","Wagen","unexpected","j","j",1,5387,2,2,""
"277","oa_4","37_unexpected","Waffe","unexpected","j","j",1,2349,2,2,""
"278","oa_4","40_unseen","Türke",NA,"n","n",1,2063,2,2,""
"279","oa_4","29_unseen","Materie",NA,"n","n",1,2493,2,2,""
"280","oa_4","49_expected","Paket","expected","j","j",1,4882,2,2,""
"281","oa_4","17_unexpected","Herausforderung","unexpected","j","j",1,4184,2,2,""
"282","oa_4","25_unexpected","Wappen","unexpected","j","j",1,3041,2,2,""
"283","oa_4","43_unexpected","Gatter","unexpected","j","n",0,2000,2,2,""
"284","oa_4","13_unseen","Frosch",NA,"n","n",1,2873,2,2,""
"285","oa_4","3_unseen","Lippen",NA,"n","n",1,5654,2,2,""
"286","oa_4","35_unexpected","Mund","unexpected","j","n",0,5454,2,2,""
"287","oa_4","33_unseen","Weste",NA,"n","n",1,4164,2,2,""
"288","oa_4","16_unseen","Antarktis",NA,"n","n",1,1335,2,2,""
"289","oa_4","25_unseen","Einzelkind",NA,"n","n",1,4657,2,2,""
"290","oa_4","28_unseen","Verschluss",NA,"n","j",0,2096,2,2,""
"291","oa_4","31_unexpected","Watte","unexpected","j","j",1,5548,2,2,""
"292","oa_4","19_unseen","Bombe",NA,"n","n",1,1912,2,2,""
"293","oa_4","2_expected","Auto","expected","j","j",1,1756,2,2,""
"294","oa_4","12_unseen","Wunsch",NA,"n","j",0,2006,2,2,""
"295","oa_4","36_expected","Sauna","expected","j","j",1,1294,2,2,""
"296","oa_4","16_expected","Schloss","expected","j","j",1,1490,2,2,""
"297","oa_4","10_expected","Band","expected","j","n",0,6031,2,2,""
"298","oa_4","8_unseen","Schutt",NA,"n","n",1,1687,2,2,""
"299","oa_4","24_unseen","Speisesaal",NA,"n","n",1,5100,2,2,""
"300","oa_4","1_unexpected","Schlafzimmer","unexpected","j","j",1,2201,2,2,""
"301","oa_4","27_unseen","Bildschirm",NA,"n","j",0,3953,2,2,""
"302","oa_4","27_unexpected","Platte","unexpected","j","n",0,3451,2,2,""
"303","oa_4","28_expected","Briefkasten","expected","j","j",1,1450,2,2,""
"304","oa_4","20_unseen","Wüste",NA,"n","j",0,2391,2,2,""
"305","oa_4","9_unseen","Sekunde",NA,"n","n",1,2888,2,2,""
"306","oa_4","24_expected","Wald","expected","j","j",1,1637,2,2,""
"307","oa_4","35_unseen","Mozart",NA,"n","n",1,2508,2,2,""
"308","oa_4","18_unseen","Pfadfinder",NA,"n","n",1,2176,2,2,""
"309","oa_4","15_unexpected","Untermieterin","unexpected","j","j",1,1546,2,2,""
"310","oa_4","30_expected","Polizei","expected","j","j",1,772,2,2,""
"311","oa_4","34_unseen","Hypnose",NA,"n","n",1,1461,2,2,""
"312","oa_4","22_expected","Kühlschrank","expected","j","j",1,1491,2,2,""
"313","oa_4","22_unseen","Pfanne",NA,"n","n",1,2088,2,2,""
"314","oa_4","38_unseen","Felsen",NA,"n","n",1,2221,2,2,""
"315","oa_4","21_unexpected","Offizier","unexpected","j","j",1,1004,2,2,""
"316","oa_4","31_unseen","Salami",NA,"n","n",1,1724,2,2,""
"317","oa_4","26_unseen","Märchen",NA,"n","j",0,1823,2,2,""
"318","oa_4","47_expected","Tür","expected","j","j",1,1143,2,2,""
"319","oa_4","41_unexpected","Bock","unexpected","j","j",1,3832,2,2,""
"320","oa_4","21_unseen","Zigaretten",NA,"n","n",1,2111,2,2,""
"321","oa_5","13_unexpected","Couch","unexpected","j","j",1,9490,4,2,""
"322","oa_5","14_unseen","Fahrzeuge",NA,"n","n",1,5137,4,2,""
"323","oa_5","5_unexpected","Grundstück","unexpected","j","j",1,2133,4,2,""
"324","oa_5","7_unseen","Zeichnung",NA,"n","j",0,2391,4,2,""
"325","oa_5","48_unexpected","Dachboden","unexpected","j","j",1,1263,4,2,""
"326","oa_5","11_unseen","Zuneigung",NA,"n","j",0,1453,4,2,""
"327","oa_5","19_unexpected","Klappe","unexpected","j","n",0,2547,4,2,""
"328","oa_5","4_unseen","Unterricht",NA,"n","j",0,1693,4,2,""
"329","oa_5","42_expected","Boden","expected","j","j",1,2210,4,2,""
"330","oa_5","36_unseen","Schande",NA,"n","n",1,3034,4,2,""
"331","oa_5","40_expected","Affen","expected","j","j",1,1809,4,2,""
"332","oa_5","6_unseen","Gipfel",NA,"n","j",0,1121,4,2,""
"333","oa_5","39_unexpected","Hospital","unexpected","j","j",1,876,4,2,""
"334","oa_5","3_unexpected","Haus","unexpected","j","j",1,825,4,2,""
"335","oa_5","30_unseen","Toaster",NA,"n","j",0,1168,4,2,""
"336","oa_5","20_expected","Fahrrad","expected","j","j",1,922,4,2,""
"337","oa_5","32_unseen","Buchstaben",NA,"n","j",0,1125,4,2,""
"338","oa_5","4_expected","Zähne","expected","j","j",1,920,4,2,""
"339","oa_5","5_unseen","Kopfgeld",NA,"n","n",1,2387,4,2,""
"340","oa_5","9_unexpected","Menge","unexpected","j","n",0,2972,4,2,""
"341","oa_5","8_expected","Berge","expected","j","j",1,1581,4,2,""
"342","oa_5","15_unseen","Künstlerin",NA,"n","n",1,6526,4,2,""
"343","oa_5","6_expected","Tisch","expected","j","j",1,1451,4,2,""
"344","oa_5","34_expected","Bäckerei","expected","j","j",1,1249,4,2,""
"345","oa_5","1_unseen","Käsekuchen",NA,"n","j",0,895,4,2,""
"346","oa_5","38_expected","Licht","expected","j","j",1,963,4,2,""
"347","oa_5","23_unseen","Röhre",NA,"n","n",1,1716,4,2,""
"348","oa_5","14_expected","Ferien","expected","j","j",1,1439,4,2,""
"349","oa_5","39_unseen","Makler",NA,"n","j",0,1309,4,2,""
"350","oa_5","2_unseen","Technik",NA,"n","j",0,881,4,2,""
"351","oa_5","18_expected","Orchester","expected","j","j",1,998,4,2,""
"352","oa_5","37_unseen","Smaragd",NA,"n","j",0,2645,4,2,""
